,open,high,low,close,adj_close,volume
2022-09-27,544.0,550.75,533.2,536.25,536.25,675627.0
2022-09-28,533.0,539.75,520.7,525.3,525.3,1189112.0
2022-09-29,528.0,535.55,519.65,521.95,521.95,1020982.0
2022-09-30,524.0,536.95,516.3,531.05,531.05,906209.0
2022-10-03,528.7,531.4,518.3,519.65,519.65,444614.0
2022-10-04,531.0,535.8,528.0,532.7,532.7,283557.0
2022-10-06,533.05,541.7,533.05,537.25,537.25,408934.0
2022-10-07,535.8,535.8,526.65,530.35,530.35,301605.0
2022-10-10,525.0,533.9,522.15,530.3,530.3,408969.0
2022-10-11,530.3,533.6,525.6,527.2,527.2,227126.0
2022-10-12,528.15,535.1,526.05,533.95,533.95,187354.0
2022-10-13,533.0,533.7,520.35,521.35,521.35,379867.0
2022-10-14,530.0,534.7,525.95,527.05,527.05,216543.0
2022-10-17,526.05,544.8,524.95,543.9,543.9,402075.0
2022-10-18,546.1,563.4,546.1,562.45,562.45,940655.0
2022-10-19,562.45,563.4,551.45,553.2,553.2,458561.0
2022-10-20,555.65,556.75,545.4,555.4,555.4,366493.0
2022-10-21,557.9,565.55,556.95,560.8,560.8,718300.0
2022-10-24,566.25,572.4,566.25,570.35,570.35,139821.0
2022-10-25,571.2,586.1,568.05,578.15,578.15,1011296.0
2022-10-27,582.5,584.95,577.75,579.55,579.55,643193.0
2022-10-28,579.75,582.5,567.0,570.75,570.75,299442.0
2022-10-31,573.4,577.1,568.4,573.8,573.8,507867.0
2022-11-01,575.2,585.5,574.5,576.75,576.75,876313.0
2022-11-02,575.1,578.95,570.0,573.95,573.95,281391.0
2022-11-03,568.8,587.9,568.8,584.8,584.8,777934.0
2022-11-04,586.0,596.75,580.6,593.75,593.75,797243.0
2022-11-07,614.0,622.9,607.85,614.2,614.2,1680075.0
2022-11-09,620.0,620.55,610.7,615.55,615.55,935161.0
2022-11-10,610.1,615.0,602.2,605.7,605.7,605727.0
2022-11-11,616.0,618.3,598.75,601.1,601.1,579483.0
2022-11-14,604.0,604.0,591.6,592.55,592.55,344882.0
2022-11-15,593.25,602.0,592.75,600.9,600.9,423802.0
2022-11-16,600.9,603.45,595.85,599.6,599.6,546720.0
2022-11-17,598.1,602.8,596.4,599.15,599.15,247446.0
2022-11-18,600.25,605.5,597.3,602.65,602.65,571317.0
2022-11-21,602.0,602.0,595.6,598.05,598.05,143937.0
2022-11-22,598.05,600.7,596.2,599.1,599.1,156754.0
2022-11-23,603.0,609.35,601.05,607.75,607.75,511676.0
2022-11-24,610.0,611.2,605.65,609.35,609.35,410001.0
2022-11-25,610.1,613.5,606.45,607.45,607.45,437639.0
2022-11-28,605.05,610.95,602.55,608.7,608.7,315208.0
2022-11-29,609.95,611.65,607.15,608.4,608.4,390586.0
2022-11-30,609.3,611.5,598.4,602.5,602.5,291093.0
2022-12-01,607.5,609.7,601.6,608.05,608.05,564599.0
2022-12-02,608.0,609.6,604.55,607.55,607.55,176480.0
2022-12-05,605.05,618.0,605.05,617.15,617.15,585041.0
2022-12-06,614.7,619.8,608.0,609.0,609.0,298737.0
