iter	RMSE
0	4514.526479
1	4357.887461
2	4217.538778
3	4079.110544
4	3957.138204
5	3841.838451
6	3733.375796
7	3635.440568
8	3543.074347
9	3455.38665
10	3376.110171
11	3307.510851
12	3240.172569
13	3173.482987
14	3120.558018
15	3066.516727
16	3021.377553
17	2973.847243
18	2928.855759
19	2887.732804
20	2849.754571
21	2812.917372
22	2784.664301
23	2756.494026
24	2728.325575
25	2702.267374
26	2678.902901
27	2654.063783
28	2632.876304
29	2612.301665
30	2596.509792
31	2579.129094
32	2560.72823
33	2544.183429
34	2530.58346
35	2519.982163
36	2509.811092
37	2499.229926
38	2482.527204
39	2472.455556
40	2460.902626
41	2450.699757
42	2438.988873
43	2426.32724
44	2415.575165
45	2407.945147
46	2399.849902
47	2389.944305
48	2382.170943
49	2375.600447
50	2366.49494
51	2360.635985
52	2353.703181
53	2346.812877
54	2339.030088
55	2332.822773
56	2327.903998
57	2319.907938
58	2314.43704
59	2308.793728
60	2303.771761
61	2298.181273
62	2291.547415
63	2284.738964
64	2277.591276
65	2270.802935
66	2264.931685
67	2260.981395
68	2257.437524
69	2250.169642
70	2245.807848
71	2240.317017
72	2232.122111
73	2227.719452
74	2220.209476
75	2217.590532
76	2213.799715
77	2207.975079
78	2204.158446
79	2201.113814
80	2198.606967
81	2194.545391
82	2191.095601
83	2186.302094
84	2180.39947
85	2176.611323
86	2173.332511
87	2168.008059
88	2165.221567
89	2161.339278
90	2155.710654
91	2151.773655
92	2150.175308
93	2146.523032
94	2143.591681
95	2139.860122
96	2136.393226
97	2133.827431
98	2130.363732
99	2126.516752
100	2122.594605
101	2121.049261
102	2119.322689
103	2116.934246
104	2113.318079
105	2111.117467
106	2108.31464
107	2106.610978
108	2102.810019
109	2101.062351
110	2098.734823
111	2095.669912
112	2092.013408
113	2089.392814
114	2087.750429
115	2084.262399
116	2081.55319
117	2075.9423
118	2072.814039
119	2069.188258
120	2066.149731
121	2063.551519
122	2059.929623
123	2055.764555
124	2052.287298
125	2049.910386
126	2048.315918
127	2047.269086
128	2044.86873
129	2042.041916
130	2039.336272
131	2035.529416
132	2032.450864
133	2030.905099
134	2027.169334
135	2024.389476
136	2021.141379
137	2019.871585
138	2018.532918
139	2015.552423
140	2013.881976
141	2008.26838
142	2005.426109
143	2003.551967
144	2000.525193
145	1998.405232
146	1995.112596
147	1993.692301
148	1990.209449
149	1988.178306
150	1987.016891
151	1985.82627
152	1983.781531
153	1982.513389
154	1980.782557
155	1978.806084
156	1975.876044
157	1972.179858
158	1969.446857
159	1967.80691
160	1966.250711
161	1963.466504
162	1960.218901
163	1958.374863
164	1955.208827
165	1953.488635
166	1952.040354
167	1948.95767
168	1947.817892
169	1944.990487
170	1942.602915
171	1940.960017
172	1939.628471
173	1938.32438
174	1937.489957
175	1935.076757
176	1933.433899
177	1929.911057
178	1928.168614
179	1926.280469
180	1922.177194
181	1919.715857
182	1917.551112
183	1916.353328
184	1914.830502
185	1912.953214
186	1912.007416
187	1910.440501
188	1907.858689
189	1904.588526
190	1902.97434
191	1902.156033
192	1900.929036
193	1899.398133
194	1896.86407
195	1896.32143
196	1894.949013
197	1892.112297
198	1891.430239
199	1890.26384
200	1887.128631
201	1885.017012
202	1884.046802
203	1881.532217
204	1880.226397
205	1878.486462
206	1877.847467
207	1877.070919
208	1876.29227
209	1875.343826
210	1874.638286
211	1872.936275
212	1872.062649
213	1870.690708
214	1870.007941
215	1869.268079
216	1868.097977
217	1867.436924
218	1865.120183
219	1862.949997
220	1861.346819
221	1860.797735
222	1860.034058
223	1858.188048
224	1857.107988
225	1855.7567
226	1853.375739
227	1852.201319
228	1849.975965
229	1849.073905
230	1848.420856
231	1846.950017
232	1845.359296
233	1844.197326
234	1843.210625
235	1842.059249
236	1839.368809
237	1837.31472
238	1835.727674
239	1834.913084
240	1834.25856
241	1831.945592
242	1831.330384
243	1830.505074
244	1829.676916
245	1828.932407
246	1828.231959
247	1826.31796
248	1823.992352
249	1821.352918
250	1820.761022
251	1819.878369
252	1819.19028
253	1816.005352
254	1815.129905
255	1814.295348
256	1813.484971
257	1812.314799
258	1811.763345
259	1810.013917
260	1808.366221
261	1807.767761
262	1806.341727
263	1805.487096
264	1803.436749
265	1802.593936
266	1801.934508
267	1801.060333
268	1799.615206
269	1798.901908
270	1797.883467
271	1795.849249
272	1794.07622
273	1792.985124
274	1792.221182
275	1790.311426
276	1788.833319
277	1787.667751
278	1786.473366
279	1785.876335
280	1784.62153
281	1783.259136
282	1781.702277
283	1780.954637
284	1779.751643
285	1778.504622
286	1777.845789
287	1777.338981
288	1775.88647
289	1774.91345
290	1773.62875
291	1772.786333
292	1771.198503
293	1769.400086
294	1769.152355
295	1768.523664
296	1767.071888
297	1765.843312
298	1763.676371
299	1762.683668
300	1762.178315
301	1761.143702
302	1760.451225
303	1758.105197
304	1756.439502
305	1755.494754
306	1754.289952
307	1753.081391
308	1751.619816
309	1749.929402
310	1748.844809
311	1747.383716
312	1746.46139
313	1745.751559
314	1745.114007
315	1744.17831
316	1743.443618
317	1742.152553
318	1740.261792
319	1739.800807
320	1738.77961
321	1737.977486
322	1736.83219
323	1735.724378
324	1734.901625
325	1734.18141
326	1733.567043
327	1732.434603
328	1731.728421
329	1731.258313
330	1730.454076
331	1728.190075
332	1727.590528
333	1726.57968
334	1725.779437
335	1724.570878
336	1724.185922
337	1723.431987
338	1722.648746
339	1721.012962
340	1720.064224
341	1718.719692
342	1718.225263
343	1717.250455
344	1716.650968
345	1716.071331
346	1714.406172
347	1713.153145
348	1712.822365
349	1711.853349
350	1710.348353
351	1708.796673
352	1706.765676
353	1705.860533
354	1705.245377
355	1703.651645
356	1702.447803
357	1701.808303
358	1699.983349
359	1699.155722
360	1698.440543
361	1697.650318
362	1697.465492
363	1695.351976
364	1694.702566
365	1694.310011
366	1693.433997
367	1692.800553
368	1691.589878
369	1691.060627
370	1690.307147
371	1689.969237
372	1689.212858
373	1688.404051
374	1688.128002
375	1686.469627
376	1685.653498
377	1685.482199
378	1684.750937
379	1683.907877
380	1682.899651
381	1681.217506
382	1679.854713
383	1678.595828
384	1677.162842
