iter	Passed	Remaining
0	2	2294
1	4	2455
2	7	2536
3	10	2577
4	12	2551
5	15	2545
6	17	2506
7	19	2472
8	22	2476
9	25	2490
10	27	2461
11	29	2448
12	32	2429
13	34	2413
14	36	2412
15	39	2449
16	42	2436
17	44	2440
18	47	2429
19	49	2414
20	51	2402
21	54	2404
22	56	2409
23	59	2431
24	62	2426
25	64	2417
26	66	2403
27	68	2388
28	71	2383
29	73	2383
30	76	2381
31	78	2376
32	80	2368
33	83	2360
34	86	2384
35	88	2380
36	91	2370
37	93	2365
38	95	2359
39	97	2350
40	100	2346
41	102	2344
42	105	2337
43	107	2332
44	109	2328
45	112	2325
46	114	2316
47	116	2312
48	119	2314
49	121	2308
50	123	2302
51	125	2297
52	128	2294
53	130	2289
54	133	2285
55	135	2288
56	138	2283
57	140	2278
58	142	2271
59	144	2266
60	146	2261
61	149	2266
62	152	2264
63	154	2262
64	157	2260
65	159	2255
66	161	2251
67	163	2244
68	166	2242
69	168	2239
70	170	2235
71	173	2236
72	175	2232
73	178	2230
74	180	2232
75	183	2228
76	185	2228
77	188	2226
78	190	2224
79	193	2220
80	195	2217
81	197	2214
82	200	2215
83	203	2213
84	205	2208
85	207	2206
86	209	2202
87	212	2199
88	214	2197
89	217	2194
90	219	2191
91	221	2187
92	223	2183
93	226	2180
94	228	2179
95	231	2175
96	233	2173
97	235	2170
98	238	2167
99	240	2164
100	243	2163
101	245	2160
102	247	2157
103	250	2155
104	252	2153
105	255	2150
106	257	2146
107	259	2143
108	262	2142
109	264	2141
110	266	2138
111	269	2135
112	271	2130
113	273	2126
114	276	2124
115	278	2122
116	280	2119
117	283	2115
118	285	2111
119	287	2107
120	289	2102
121	291	2098
122	293	2095
123	295	2090
124	297	2085
125	300	2081
126	302	2076
127	304	2073
128	306	2070
129	308	2066
130	311	2063
131	313	2059
132	315	2055
133	317	2051
134	319	2048
135	321	2043
136	324	2041
137	326	2038
138	328	2035
139	330	2031
140	332	2028
141	335	2025
142	337	2020
143	339	2016
144	341	2014
145	343	2010
146	345	2006
147	348	2003
148	350	2000
149	352	1996
150	354	1993
151	356	1990
152	359	1987
153	361	1984
154	363	1981
155	365	1977
156	367	1974
