,Airline,Source,Destination,Total_Stops,Price,Date,Month,Year,Day_no,Arrival_hour,Arrival_min,Dep_hour,Dep_min,dur_float
0,IndiGo,Banglore,New Delhi,0,3897,24,3,2019,6,1,10,22,20,2.8333333333333335
1,Air India,Kolkata,Banglore,2,7662,5,1,2019,5,13,15,5,50,7.416666666666667
2,Jet Airways,Delhi,Cochin,2,13882,6,9,2019,4,4,25,9,25,19.0
3,IndiGo,Kolkata,Banglore,1,6218,5,12,2019,3,23,30,18,5,5.416666666666667
4,IndiGo,Banglore,New Delhi,1,13302,3,1,2019,3,21,35,16,50,4.75
5,SpiceJet,Kolkata,Banglore,0,3873,24,6,2019,0,11,25,9,0,2.4166666666666665
6,Jet Airways,Banglore,New Delhi,1,11087,3,12,2019,1,10,25,18,55,15.5
7,Jet Airways,Banglore,New Delhi,1,22270,3,1,2019,3,5,5,8,0,21.083333333333332
8,Jet Airways,Banglore,New Delhi,1,11087,3,12,2019,1,10,25,8,55,25.5
9,Multiple carriers,Delhi,Cochin,1,8625,27,5,2019,0,19,15,11,25,7.833333333333333
10,Air India,Delhi,Cochin,1,8907,6,1,2019,6,23,0,9,45,13.25
11,IndiGo,Kolkata,Banglore,0,4174,18,4,2019,3,22,55,20,20,2.5833333333333335
12,Air India,Chennai,Kolkata,0,4667,24,6,2019,0,13,55,11,40,2.25
13,Jet Airways,Kolkata,Banglore,1,9663,5,9,2019,3,9,20,21,10,12.166666666666666
14,IndiGo,Kolkata,Banglore,0,4804,24,4,2019,2,19,50,17,15,2.5833333333333335
15,Air India,Delhi,Cochin,2,14011,3,3,2019,6,19,15,16,40,26.583333333333332
16,SpiceJet,Delhi,Cochin,1,5830,15,4,2019,0,13,15,8,45,4.5
17,Jet Airways,Delhi,Cochin,1,10262,6,12,2019,4,12,35,14,0,22.583333333333332
18,Air India,Delhi,Cochin,2,13381,6,12,2019,4,19,15,20,15,23.0
19,Jet Airways,Delhi,Cochin,1,12898,27,5,2019,0,12,35,16,0,20.583333333333332
20,GoAir,Delhi,Cochin,1,19495,3,6,2019,0,19,20,14,10,5.166666666666667
21,Air India,Banglore,New Delhi,1,6955,21,3,2019,3,13,20,22,0,15.333333333333334
22,IndiGo,Banglore,Delhi,0,3943,4,3,2019,0,6,50,4,0,2.8333333333333335
23,IndiGo,Banglore,Delhi,0,4823,5,1,2019,5,21,50,18,55,2.9166666666666665
24,Jet Airways,Kolkata,Banglore,1,7757,5,6,2019,2,8,15,18,55,13.333333333333334
25,Jet Airways,Delhi,Cochin,2,13292,6,9,2019,4,12,35,21,25,15.166666666666666
26,IndiGo,Delhi,Cochin,1,8238,6,1,2019,6,3,35,21,50,5.75
27,GoAir,Delhi,Cochin,1,7682,15,5,2019,2,12,55,7,0,5.916666666666667
28,Vistara,Banglore,Delhi,0,4668,18,6,2019,1,12,35,9,45,2.8333333333333335
29,Vistara,Chennai,Kolkata,0,3687,15,6,2019,5,9,20,7,5,2.25
30,Vistara,Chennai,Kolkata,0,3687,18,6,2019,1,9,20,7,5,2.25
31,Air India,Kolkata,Banglore,2,13227,5,1,2019,5,23,15,9,50,13.416666666666666
32,IndiGo,Banglore,Delhi,0,4423,4,6,2019,1,6,50,4,0,2.8333333333333335
33,Jet Airways,Delhi,Cochin,2,10919,15,6,2019,5,12,35,14,35,22.0
34,Jet Airways,Delhi,Cochin,1,12373,18,5,2019,5,12,35,7,5,5.5
35,IndiGo,Delhi,Cochin,1,5894,27,6,2019,3,21,0,10,35,10.416666666666666
36,SpiceJet,Kolkata,Banglore,1,4649,21,5,2019,1,20,20,15,5,5.25
37,Air India,Kolkata,Banglore,0,6245,18,5,2019,5,16,45,14,15,2.5
38,Jet Airways,Banglore,New Delhi,1,19225,3,6,2019,0,13,15,7,0,6.25
39,Jet Airways,Delhi,Cochin,1,14924,6,3,2019,2,19,0,7,5,11.916666666666666
40,Multiple carriers,Delhi,Cochin,1,9646,21,5,2019,1,18,10,7,5,11.083333333333334
41,Air India,Banglore,New Delhi,1,8714,15,3,2019,4,15,15,6,45,8.5
42,Jet Airways,Delhi,Cochin,1,12373,18,5,2019,5,19,0,20,55,22.083333333333332
43,Air Asia,Banglore,Delhi,0,3383,5,6,2019,2,13,55,11,10,2.75
44,Multiple carriers,Delhi,Cochin,1,13062,21,3,2019,3,21,0,9,0,12.0
45,SpiceJet,Banglore,New Delhi,0,3527,24,3,2019,6,8,35,5,45,2.8333333333333335
46,IndiGo,Banglore,Delhi,0,3943,27,5,2019,0,6,50,4,0,2.8333333333333335
47,Air India,Chennai,Kolkata,0,4667,5,3,2019,1,13,55,11,40,2.25
48,Air India,Kolkata,Banglore,1,6117,15,5,2019,2,11,5,19,0,16.083333333333332
49,Jet Airways,Delhi,Cochin,2,11150,27,6,2019,3,19,0,23,5,19.916666666666668
50,Jet Airways,Delhi,Cochin,0,7202,3,9,2019,1,14,15,11,0,3.25
51,Jet Airways,Kolkata,Banglore,1,12121,5,1,2019,5,10,55,9,35,25.333333333333332
52,IndiGo,Banglore,New Delhi,0,4377,24,3,2019,6,1,10,22,20,2.8333333333333335
53,IndiGo,Banglore,Delhi,0,3943,18,6,2019,1,0,15,21,15,3.0
54,Air Asia,Banglore,Delhi,0,4483,4,3,2019,0,2,45,23,55,2.8333333333333335
55,Jet Airways,Kolkata,Banglore,1,14231,24,3,2019,6,12,0,19,45,16.25
56,Air India,Banglore,New Delhi,2,17345,3,1,2019,3,23,55,8,50,15.083333333333334
57,Vistara,Chennai,Kolkata,0,7414,3,6,2019,0,9,20,7,5,2.25
58,Multiple carriers,Delhi,Cochin,1,8073,5,6,2019,2,1,30,19,0,6.5
59,Vistara,Mumbai,Hyderabad,1,12395,3,6,2019,0,16,45,15,40,25.083333333333332
60,Air India,Kolkata,Banglore,1,8366,6,6,2019,3,21,50,9,25,12.416666666666666
61,Air India,Delhi,Cochin,1,5117,4,3,2019,0,9,25,6,5,27.333333333333332
62,Multiple carriers,Delhi,Cochin,1,12524,6,3,2019,2,19,0,8,45,10.25
63,IndiGo,Delhi,Cochin,1,7191,15,5,2019,2,1,30,15,0,10.5
64,Vistara,Chennai,Kolkata,0,3687,24,5,2019,4,9,20,7,5,2.25
65,IndiGo,Delhi,Cochin,1,5894,24,6,2019,0,21,0,10,35,10.416666666666666
66,Vistara,Banglore,Delhi,0,5403,24,4,2019,2,12,35,9,45,2.8333333333333335
67,Air India,Mumbai,Hyderabad,0,3625,5,6,2019,2,15,25,13,55,1.5
68,Air India,Delhi,Cochin,2,10861,21,5,2019,1,19,15,5,55,13.333333333333334
69,IndiGo,Chennai,Kolkata,0,6297,3,12,2019,1,15,35,13,20,2.25
70,Jet Airways,Mumbai,Hyderabad,0,5678,6,1,2019,6,8,30,7,5,1.4166666666666667
71,Jet Airways,Banglore,New Delhi,1,9134,3,9,2019,1,8,15,5,45,26.5
